timestamp,open,high,low,close,volume
1756857600000,111240.01,111548.0,111240.01,111530.12,352.22781
1756858500000,111530.11,111782.21,111460.44,111647.99,338.07275
1756859400000,111647.99,111678.0,111417.71,111417.72,199.0789
1756860300000,111417.72,111451.62,111300.0,111339.98,102.82335
1756861200000,111339.98,111404.77,111142.19,111220.97,117.03358
1756862100000,111220.98,111240.0,110926.69,110978.5,138.4104
1756863000000,110978.5,111047.76,110901.99,110929.61,76.26537
1756863900000,110929.62,111200.0,110901.06,111176.94,123.10728
1756864800000,111176.93,111411.02,111029.43,111098.31,107.14062
1756865700000,111098.3,111393.11,111091.86,111374.54,114.01316
1756866600000,111374.54,111374.54,111195.67,111338.92,98.46837
1756867500000,111338.93,111484.05,111338.92,111372.0,105.27716
1756868400000,111372.0,111411.24,111047.56,111078.95,145.04604
1756869300000,111078.96,111164.2,110976.01,111059.27,71.32832
1756870200000,111059.27,111059.28,110892.14,110950.01,103.66863
1756871100000,110950.01,111129.58,110941.48,111054.01,71.65519
1756872000000,111054.0,111151.99,110917.45,110917.45,114.98647
1756872900000,110917.46,111101.0,110836.48,111022.01,72.61598
1756873800000,111022.02,111091.63,110976.66,111022.16,33.61016
1756874700000,111022.16,111095.64,110971.69,111020.68,48.05541
1756875600000,111020.68,111069.48,110860.04,110899.99,72.60092
1756876500000,110900.0,110919.83,110709.6,110778.55,85.022
1756877400000,110778.55,110846.65,110737.77,110780.63,83.32039
1756878300000,110780.62,110794.0,110666.0,110685.57,86.2063
1756879200000,110685.57,110739.41,110549.8,110700.01,325.08663
1756880100000,110700.01,110829.15,110651.36,110806.97,67.5399
1756881000000,110806.98,110879.89,110738.54,110758.86,63.62694
1756881900000,110758.85,110813.2,110673.63,110724.0,49.71291
1756882800000,110724.0,110845.34,110573.25,110766.41,105.83549
1756883700000,110766.41,110779.99,110528.71,110779.99,128.7718
1756884600000,110780.0,110975.05,110780.0,110942.77,103.00641
1756885500000,110942.77,111111.11,110921.81,111099.88,99.70202
1756886400000,111099.87,111270.51,111058.28,111225.99,159.19761
1756887300000,111225.99,111279.48,111054.0,111115.12,101.15982
1756888200000,111115.12,111138.37,111009.95,111065.43,50.49319
1756889100000,111065.44,111076.57,110974.0,111019.99,54.27509
1756890000000,111019.99,111072.26,110889.29,110914.9,56.90693
1756890900000,110914.89,111266.11,110914.89,111134.53,100.71029
1756891800000,111134.54,111241.78,111104.73,111199.99,57.3993
1756892700000,111199.99,111324.0,111146.26,111312.28,99.96357
1756893600000,111312.28,111370.96,111170.06,111339.17,78.39089
1756894500000,111339.17,111491.74,111320.0,111484.72,148.4462
1756895400000,111484.72,111488.35,111413.18,111456.64,65.97167
1756896300000,111456.64,111480.08,111318.83,111449.99,84.31758
1756897200000,111450.0,111708.0,111422.4,111643.17,191.45489
1756898100000,111643.16,111657.51,111419.17,111500.78,96.82508
1756899000000,111500.77,111596.0,111388.24,111580.0,106.78026
1756899900000,111580.0,111580.0,111437.76,111437.77,62.54471
1756900800000,111437.77,111619.87,111437.77,111466.43,57.38206
1756901700000,111466.43,111618.29,111455.4,111513.94,49.83253
1756902600000,111513.94,111858.57,111250.44,111255.98,216.38092
1756903500000,111255.98,111338.69,111031.61,111112.0,116.52084
1756904400000,111112.0,111350.0,111065.56,111346.12,104.80183
1756905300000,111346.12,111477.15,111313.73,111344.56,91.60447
1756906200000,111344.55,111720.19,111104.01,111673.44,259.1138
1756907100000,111673.43,111920.7,111311.7,111475.07,407.0513
1756908000000,111475.08,111847.98,111222.25,111222.26,337.72071
1756908900000,111222.25,111580.0,111118.43,111443.87,279.67097
1756909800000,111443.86,112500.0,111443.86,112475.99,493.52293
1756910700000,112476.0,112498.0,112067.99,112261.37,369.72919
1756911600000,112261.37,112376.7,112121.58,112121.59,292.77153
1756912500000,112121.59,112182.6,111910.24,111958.0,159.33764
1756913400000,111957.99,112322.28,111931.35,112320.01,182.91024
1756914300000,112320.0,112357.06,112168.65,112222.74,131.65391
1756915200000,112222.73,112336.0,112081.72,112178.0,104.90107
1756916100000,112177.99,112178.0,111900.0,111965.99,209.87697
1756917000000,111965.99,112112.0,111720.2,111733.64,190.97566
1756917900000,111733.65,111858.66,111686.24,111858.66,98.44306
1756918800000,111858.65,112400.0,111858.65,112380.33,124.79564
1756919700000,112380.32,112485.28,112300.0,112448.7,118.04642
1756920600000,112448.71,112469.79,112261.36,112297.91,179.49092
1756921500000,112297.92,112575.27,112259.05,112312.64,152.36559
1756922400000,112312.64,112516.35,112257.4,112382.82,161.58369
1756923300000,112382.81,112388.0,112121.58,112136.54,139.61657
1756924200000,112136.53,112136.54,111842.84,111885.48,93.80084
1756925100000,111885.48,112000.0,111800.0,112000.0,70.80195
1756926000000,112000.0,112000.0,111815.29,111815.29,68.15424
1756926900000,111815.3,111947.48,111781.63,111917.7,66.97149
1756927800000,111917.71,111996.8,111792.5,111859.81,45.96416
1756928700000,111859.82,112252.33,111842.84,112193.74,131.52046
1756929600000,112193.74,112250.0,112094.43,112113.69,58.58859
1756930500000,112113.69,112137.17,112052.1,112127.16,47.31858
1756931400000,112127.17,112165.92,112080.0,112125.19,52.01533
1756932300000,112125.19,112211.31,112125.18,112211.31,71.23613
1756933200000,112211.3,112250.0,112139.37,112139.37,42.18574
1756934100000,112139.38,112180.0,112045.73,112092.95,40.45813
1756935000000,112092.96,112107.02,111798.08,111864.95,51.23695
1756935900000,111864.95,112021.25,111759.5,111989.67,48.40724
1756936800000,111989.68,112110.11,111980.24,112096.27,63.10427
1756937700000,112096.27,112150.0,111953.24,111955.62,48.16745
1756938600000,111955.62,111955.63,111874.46,111919.99,35.56676
1756939500000,111919.99,111979.99,111839.86,111947.48,30.89616
1756940400000,111947.47,111980.0,111842.84,111864.67,43.76315
1756941300000,111864.68,111936.78,111775.21,111808.84,91.63111
1756942200000,111808.85,111845.05,111613.98,111656.4,75.55028
1756943100000,111656.41,111750.0,111646.5,111705.71,148.12763
1756944000000,111705.72,111777.87,111619.86,111730.44,117.4879
1756944900000,111730.45,112094.64,111672.04,112005.0,118.55811
1756945800000,112005.0,112144.74,111955.7,112068.0,45.62912
1756946700000,112067.99,112180.0,112016.0,112065.61,61.7511
1756947600000,112065.6,112080.0,111700.0,111704.81,89.6422
1756948500000,111704.81,111795.91,111641.63,111795.9,50.07843
1756949400000,111795.9,112013.99,111778.55,111891.41,69.64533
1756950300000,111891.41,111947.48,111800.0,111947.48,42.40561
1756951200000,111947.48,111980.01,111804.81,111825.12,43.5213
1756952100000,111825.11,111830.99,111430.45,111430.46,146.12853
1756953000000,111430.45,111713.66,111406.79,111602.44,112.74189
1756953900000,111602.45,111656.35,111419.17,111450.15,57.3036
1756954800000,111450.16,111537.81,111329.86,111480.48,126.08558
1756955700000,111480.49,111728.57,111319.68,111378.66,142.38227
1756956600000,111378.66,111398.24,111240.6,111252.01,105.65197
1756957500000,111252.01,111276.0,111136.0,111148.97,155.74609
1756958400000,111148.97,111280.0,111114.22,111242.88,101.40743
1756959300000,111242.87,111318.84,111140.37,111141.99,69.39362
1756960200000,111141.66,111229.73,111107.0,111133.92,57.39182
1756961100000,111133.92,111166.68,110917.45,110917.45,104.5374
1756962000000,110917.46,110922.4,110686.57,110780.0,252.8216
1756962900000,110780.0,110817.11,110612.09,110801.99,281.01392
1756963800000,110802.0,110872.0,110569.36,110619.01,402.54797
1756964700000,110619.0,110693.8,110590.87,110653.07,227.30026
1756965600000,110653.08,110729.0,110566.41,110662.78,119.6174
1756966500000,110662.79,110662.79,110384.61,110527.02,143.85399
1756967400000,110527.02,110527.02,110366.38,110413.73,99.60815
1756968300000,110413.73,110506.32,110279.68,110393.95,76.6736
1756969200000,110393.95,110580.31,110359.17,110568.48,132.74727
1756970100000,110568.48,110642.19,110361.24,110441.24,90.17039
1756971000000,110441.24,110459.84,110343.72,110369.64,71.46304
1756971900000,110369.63,110528.72,110369.63,110463.36,63.18018
1756972800000,110463.36,110717.34,110415.72,110660.57,122.45492
1756973700000,110660.57,110798.99,110600.03,110796.7,95.18582
1756974600000,110796.7,110858.6,110642.3,110720.01,88.23243
1756975500000,110720.01,110720.01,110616.41,110640.97,30.0324
1756976400000,110640.96,110856.63,110640.96,110831.99,62.86574
1756977300000,110832.0,110851.29,110780.0,110808.36,64.73732
