timestamp,open,high,low,close,volume
1756857600000,2.862,2.8629,2.8511,2.8563,1169161.6
1756858500000,2.8563,2.8637,2.8488,2.861,1213475.3
1756859400000,2.8609,2.8631,2.8492,2.8499,555233.4
1756860300000,2.8498,2.8511,2.8377,2.8412,1445935.0
1756861200000,2.8413,2.8417,2.8283,2.8288,1497433.6
1756862100000,2.8289,2.8376,2.8257,2.8283,1481741.9
1756863000000,2.8284,2.8349,2.8281,2.8349,797575.1
1756863900000,2.8349,2.849,2.8307,2.8479,1476333.6
1756864800000,2.8479,2.8654,2.8467,2.8542,1274630.8
1756865700000,2.8542,2.865,2.8539,2.8591,1064254.2
1756866600000,2.859,2.8611,2.8503,2.8546,686559.1
1756867500000,2.8547,2.8583,2.8504,2.8506,561718.7
1756868400000,2.8506,2.8509,2.8403,2.8404,648618.0
1756869300000,2.8404,2.8441,2.8381,2.8404,979315.5
1756870200000,2.8403,2.8426,2.8353,2.8368,566825.3
1756871100000,2.8367,2.8426,2.8355,2.8412,882918.8
1756872000000,2.8412,2.8444,2.8342,2.8345,605517.9
1756872900000,2.8345,2.8364,2.8307,2.8335,1043217.1
1756873800000,2.8335,2.8387,2.833,2.837,473767.8
1756874700000,2.8369,2.8385,2.8344,2.8363,460309.6
1756875600000,2.8363,2.8372,2.8319,2.8355,466824.9
1756876500000,2.8354,2.8358,2.8301,2.8316,573855.6
1756877400000,2.8317,2.8331,2.8283,2.8293,635163.8
1756878300000,2.8292,2.8299,2.824,2.8268,1036124.6
1756879200000,2.8268,2.8274,2.8154,2.8202,2049963.0
1756880100000,2.8202,2.8249,2.8172,2.8241,822588.0
1756881000000,2.8241,2.8263,2.8177,2.8189,795493.7
1756881900000,2.819,2.8212,2.8145,2.818,1250937.0
1756882800000,2.818,2.8212,2.8133,2.8181,914046.2
1756883700000,2.8181,2.8183,2.811,2.8143,1172256.0
1756884600000,2.8144,2.8197,2.8135,2.8196,879223.4
1756885500000,2.8196,2.8232,2.8162,2.8211,878579.8
1756886400000,2.821,2.835,2.8202,2.8347,1297265.2
1756887300000,2.8346,2.8387,2.8297,2.8318,1332434.6
1756888200000,2.8319,2.8351,2.8286,2.8342,1490791.0
1756889100000,2.8342,2.8375,2.8315,2.8374,768894.4
1756890000000,2.8374,2.8437,2.8326,2.8328,2494286.7
1756890900000,2.8328,2.8433,2.8327,2.8407,1200005.6
1756891800000,2.8406,2.8459,2.838,2.8455,1626495.6
1756892700000,2.8454,2.8489,2.8389,2.8468,1468939.2
1756893600000,2.8468,2.8485,2.842,2.8467,655477.9
1756894500000,2.8468,2.86,2.8462,2.8593,1295171.8
1756895400000,2.8593,2.8639,2.8497,2.8524,1237152.5
1756896300000,2.8524,2.8526,2.8445,2.8477,1134034.1
1756897200000,2.8476,2.859,2.8473,2.8577,991414.2
1756898100000,2.8577,2.859,2.8541,2.8566,720433.2
1756899000000,2.8566,2.8616,2.85,2.8607,1913057.5
1756899900000,2.8606,2.8607,2.8556,2.857,846032.3
1756900800000,2.857,2.8627,2.857,2.8597,479364.7
1756901700000,2.8598,2.8663,2.8578,2.8586,613339.6
1756902600000,2.8586,2.8753,2.8534,2.8534,2170639.6
1756903500000,2.8534,2.8554,2.8422,2.8454,1967618.8
1756904400000,2.8455,2.8538,2.8454,2.8518,949773.9
1756905300000,2.8517,2.8565,2.8501,2.8524,568111.9
1756906200000,2.8524,2.8721,2.8492,2.8681,1436262.9
1756907100000,2.868,2.875,2.8581,2.8594,1517428.7
1756908000000,2.8594,2.8722,2.8545,2.8545,1783543.2
1756908900000,2.8546,2.8738,2.854,2.8704,1008552.3
1756909800000,2.8704,2.8867,2.8704,2.8851,4009995.2
1756910700000,2.885,2.8853,2.8702,2.8729,1152463.6
1756911600000,2.873,2.8767,2.8677,2.8677,1391812.3
1756912500000,2.8677,2.8731,2.8623,2.8652,893535.0
1756913400000,2.8651,2.8755,2.8645,2.8734,1362669.7
1756914300000,2.8734,2.875,2.869,2.8723,846131.1
1756915200000,2.8722,2.8743,2.8675,2.8715,543986.4
1756916100000,2.8715,2.8727,2.8638,2.8639,435194.0
1756917000000,2.8639,2.866,2.8579,2.8582,690842.0
1756917900000,2.8581,2.8612,2.856,2.8598,348892.4
1756918800000,2.8599,2.8686,2.8599,2.8678,475046.1
1756919700000,2.8677,2.8688,2.8591,2.862,390611.9
1756920600000,2.8619,2.8667,2.8588,2.859,470583.8
1756921500000,2.859,2.868,2.8566,2.8621,868451.4
1756922400000,2.8621,2.8677,2.86,2.8639,821331.8
1756923300000,2.8639,2.864,2.8582,2.8596,345365.5
1756924200000,2.8597,2.8597,2.8481,2.8496,1992603.9
1756925100000,2.8495,2.8518,2.845,2.8517,1605415.9
1756926000000,2.8517,2.852,2.8462,2.8465,1065798.9
1756926900000,2.8466,2.8512,2.8433,2.8495,502570.3
1756927800000,2.8496,2.8538,2.8485,2.8536,2163228.7
1756928700000,2.8535,2.8673,2.8518,2.8651,1481884.6
1756929600000,2.8651,2.8675,2.8633,2.8638,457780.1
1756930500000,2.8638,2.8639,2.856,2.8563,1120620.7
1756931400000,2.8563,2.8619,2.8563,2.8611,478275.8
1756932300000,2.8611,2.8616,2.8541,2.8568,376156.1
1756933200000,2.8569,2.8581,2.8501,2.8513,581082.1
1756934100000,2.8513,2.8542,2.8478,2.8497,550296.5
1756935000000,2.8496,2.8501,2.8433,2.8452,445516.5
1756935900000,2.8453,2.8488,2.8392,2.8456,832765.4
1756936800000,2.8455,2.8507,2.845,2.8493,1185252.4
1756937700000,2.8493,2.8568,2.8437,2.8448,1383775.2
1756938600000,2.8448,2.846,2.8414,2.8439,280840.3
