timestamp,open,high,low,close,volume
1756857600000,2.862,2.8637,2.8377,2.8412,4383805.3
1756861200000,2.8413,2.849,2.8257,2.8479,5253084.2
1756864800000,2.8479,2.8654,2.8467,2.8506,3587162.8
1756868400000,2.8506,2.8509,2.8353,2.8412,3077677.6
1756872000000,2.8412,2.8444,2.8307,2.8363,2582812.4
1756875600000,2.8363,2.8372,2.824,2.8268,2711968.9
1756879200000,2.8268,2.8274,2.8145,2.818,4918981.7
1756882800000,2.818,2.8232,2.811,2.8211,3844105.4
1756886400000,2.821,2.8387,2.8202,2.8374,4889385.2
1756890000000,2.8374,2.8489,2.8326,2.8468,6789727.1
1756893600000,2.8468,2.8639,2.842,2.8477,4321836.3
1756897200000,2.8476,2.8616,2.8473,2.857,4470937.2
1756900800000,2.857,2.8753,2.8422,2.8454,5230962.7
1756904400000,2.8455,2.875,2.8454,2.8594,4471577.4
1756908000000,2.8594,2.8867,2.854,2.8729,7954554.3
1756911600000,2.873,2.8767,2.8623,2.8723,4494148.1
1756915200000,2.8722,2.8743,2.856,2.8598,2018914.8
1756918800000,2.8599,2.8688,2.8566,2.8621,2204693.2
1756922400000,2.8621,2.8677,2.845,2.8517,4764717.1
1756926000000,2.8517,2.8673,2.8433,2.8651,5213482.5
1756929600000,2.8651,2.8675,2.8541,2.8568,2432832.7
1756933200000,2.8569,2.8581,2.8392,2.8456,2409660.5
1756936800000,2.8455,2.8568,2.8406,2.8462,3173751.5
1756940400000,2.8462,2.848,2.842,2.8443,1573514.2
1756944000000,2.8442,2.857,2.8437,2.8464,2235120.5
1756947600000,2.8464,2.8464,2.8345,2.8408,3339532.6
1756951200000,2.8408,2.845,2.8337,2.8378,2682501.4
1756954800000,2.8379,2.851,2.8331,2.8444,2603797.7
1756958400000,2.8445,2.8629,2.8384,2.8509,2781610.9
1756962000000,2.8509,2.8509,2.8257,2.8329,6030322.1
1756965600000,2.8329,2.8332,2.814,2.8146,5030962.7
1756969200000,2.8145,2.8266,2.8143,2.8247,3578135.3
1756972800000,2.8247,2.8557,2.824,2.8371,6843718.7
1756976400000,2.8372,2.8504,2.8371,2.8428,3423695.2
1756980000000,2.8428,2.8474,2.8362,2.8419,2228842.7
1756983600000,2.8419,2.851,2.839,2.8413,2123871.5
1756987200000,2.8414,2.8482,2.8327,2.8463,3881334.9
1756990800000,2.8462,2.8468,2.821,2.8262,5208417.2
1756994400000,2.8262,2.8458,2.8078,2.8348,10705304.5
1756998000000,2.8348,2.8375,2.804,2.8104,6025444.2
1757001600000,2.8105,2.8205,2.8013,2.8072,4090352.5
1757005200000,2.8072,2.8214,2.8072,2.8154,3175307.1
1757008800000,2.8155,2.8234,2.7966,2.7993,3201794.2
1757012400000,2.7992,2.8074,2.7842,2.785,4409235.0
1757016000000,2.785,2.807,2.785,2.8018,3111330.7
1757019600000,2.8018,2.8141,2.7991,2.8131,1554163.5
1757023200000,2.8131,2.823,2.8031,2.8195,2426319.9
1757026800000,2.8196,2.8256,2.7941,2.7946,3848515.5
1757030400000,2.7947,2.8003,2.778,2.7818,4105091.2
1757034000000,2.7818,2.8089,2.7784,2.8048,2645804.3
1757037600000,2.8048,2.8139,2.802,2.8103,3988524.0
1757041200000,2.8104,2.8104,2.7979,2.8071,2170754.0
1757044800000,2.8071,2.8172,2.8034,2.8163,2009548.2
1757048400000,2.8164,2.8209,2.8106,2.8119,2763255.2
1757052000000,2.8119,2.8141,2.8041,2.8136,3006191.6
1757055600000,2.8137,2.8496,2.8137,2.8443,7822668.8
1757059200000,2.8443,2.8457,2.8327,2.8437,3377383.7
1757062800000,2.8437,2.8493,2.8284,2.8449,4955649.0
1757066400000,2.8449,2.8543,2.8388,2.8391,3894206.0
1757070000000,2.8391,2.8473,2.8386,2.8439,1850799.1
1757073600000,2.8439,2.8788,2.8352,2.8757,19127479.7
1757077200000,2.8757,2.8849,2.8635,2.8816,8071536.7
1757080800000,2.8815,2.8815,2.8,2.8094,18220253.0
1757084400000,2.8093,2.827,2.8006,2.8148,4997123.6
1757088000000,2.8148,2.8169,2.8044,2.8141,3873062.6
1757091600000,2.8141,2.8196,2.8037,2.8179,2991705.8
1757095200000,2.8179,2.8398,2.8132,2.8355,2854218.4
1757098800000,2.8355,2.865,2.8333,2.8648,4845457.2
1757102400000,2.8648,2.8653,2.8464,2.8501,4540040.0
1757106000000,2.8501,2.8519,2.8216,2.8226,4794773.5
1757109600000,2.8225,2.8274,2.8165,2.8188,1882369.5
1757113200000,2.8189,2.8239,2.8141,2.8147,2161600.6
1757116800000,2.8146,2.8236,2.8138,2.8155,1820217.9
1757120400000,2.8155,2.82,2.8123,2.8183,1389224.7
1757124000000,2.8182,2.8258,2.8126,2.823,1870290.9
1757127600000,2.8229,2.8289,2.8198,2.827,853050.3
1757131200000,2.827,2.827,2.8155,2.8169,780137.6
1757134800000,2.8169,2.8179,2.8138,2.8143,781523.8
1757138400000,2.8142,2.8175,2.8135,2.8172,564066.8
1757142000000,2.8171,2.8214,2.8164,2.8204,622658.6
1757145600000,2.8204,2.8206,2.815,2.8153,632248.1
1757149200000,2.8153,2.8153,2.8075,2.8087,1975749.4
1757152800000,2.8086,2.8111,2.8044,2.8072,1269490.4
1757156400000,2.8072,2.8072,2.8011,2.8064,1465532.2
1757160000000,2.8064,2.8107,2.8044,2.8087,1839382.7
1757163600000,2.8086,2.8179,2.8081,2.814,1608568.8
1757167200000,2.814,2.8155,2.8105,2.8113,1085335.8
1757170800000,2.8113,2.8176,2.8005,2.8021,2003248.2
1757174400000,2.8021,2.808,2.7976,2.8006,2969709.4
1757178000000,2.8006,2.8042,2.7968,2.7997,1514973.0
1757181600000,2.7997,2.8037,2.7984,2.8007,1356967.8
1757185200000,2.8007,2.8019,2.7927,2.7944,1336900.6
1757188800000,2.7943,2.8023,2.7943,2.8023,768886.3
1757192400000,2.8023,2.8072,2.8,2.806,1046088.5
1757196000000,2.806,2.8097,2.8032,2.8055,972319.7
1757199600000,2.8056,2.8127,2.8032,2.8098,862975.1
1757203200000,2.8098,2.817,2.8092,2.8154,747517.9
1757206800000,2.8154,2.8237,2.8153,2.8214,1052621.7
1757210400000,2.8215,2.8239,2.816,2.8226,721367.2
1757214000000,2.8227,2.8256,2.8206,2.8223,745801.5
1757217600000,2.8223,2.8231,2.8187,2.8216,1142843.2
1757221200000,2.8217,2.8264,2.8215,2.8247,1064200.2
1757224800000,2.8248,2.825,2.8175,2.82,1404671.2
1757228400000,2.82,2.8345,2.8199,2.8308,1962676.8
1757232000000,2.8308,2.8374,2.8295,2.8327,1467333.2
1757235600000,2.8327,2.8365,2.8272,2.8308,1343195.1
1757239200000,2.8308,2.8317,2.8257,2.8308,953018.2
1757242800000,2.8307,2.8327,2.8298,2.8315,806906.8
1757246400000,2.8316,2.8358,2.8289,2.8354,1069099.9
1757250000000,2.8354,2.8499,2.8327,2.8485,3592876.3
1757253600000,2.8486,2.9285,2.8462,2.8852,27553864.3
1757257200000,2.8852,2.9014,2.8721,2.9001,7606146.4
1757260800000,2.9002,2.9008,2.8775,2.8912,4353825.0
1757264400000,2.8913,2.8939,2.8581,2.8597,5214057.5
1757268000000,2.8596,2.8679,2.8507,2.8583,4108199.8
1757271600000,2.8583,2.8678,2.8541,2.8627,2791887.5
1757275200000,2.8627,2.8799,2.8614,2.8799,2390104.1
1757278800000,2.88,2.8809,2.8587,2.8587,2701159.0
1757282400000,2.8587,2.8779,2.8553,2.8773,3789549.5
1757286000000,2.8774,2.8921,2.8763,2.877,4193916.8
1757289600000,2.877,2.885,2.8656,2.8693,4028828.4
1757293200000,2.8693,2.8861,2.8667,2.8803,2397833.5
1757296800000,2.8804,2.8883,2.8627,2.8861,3964481.5
1757300400000,2.886,2.9,2.8829,2.889,5054717.7
1757304000000,2.889,2.8922,2.8765,2.8801,3417075.0
1757307600000,2.8802,2.8957,2.8781,2.8927,3678844.8
1757311200000,2.8927,2.8944,2.8739,2.8758,4015951.3
1757314800000,2.8758,2.9111,2.8757,2.9106,7345407.4
1757318400000,2.9106,2.92,2.9033,2.9096,6556427.5
1757322000000,2.9095,2.9358,2.904,2.9332,4630642.1
1757325600000,2.9333,2.955,2.9254,2.9509,8887669.4
1757329200000,2.9508,2.951,2.9296,2.9362,5596555.4
1757332800000,2.9363,2.9812,2.934,2.9638,6999373.0
1757336400000,2.9638,2.9948,2.9632,2.9776,12514071.6
1757340000000,2.9776,2.9964,2.9735,2.982,8802362.0
1757343600000,2.9821,2.9867,2.9722,2.9856,4437962.0
1757347200000,2.9856,2.9908,2.9614,2.9695,6192830.4
1757350800000,2.9695,2.9826,2.963,2.9698,3069135.1
1757354400000,2.9699,2.9844,2.9692,2.984,2326803.0
1757358000000,2.9839,2.9848,2.9686,2.9798,5604356.3
1757361600000,2.9799,2.9848,2.9546,2.9637,4028213.3
1757365200000,2.9637,2.9778,2.9612,2.9747,3116697.0
1757368800000,2.9746,2.9838,2.9717,2.9761,2502271.9
1757372400000,2.9761,2.9795,2.9631,2.9697,2237668.6
1757376000000,2.9698,2.9782,2.9462,2.9558,6962787.9
1757379600000,2.9557,2.9609,2.9473,2.9591,3421250.9
1757383200000,2.9591,2.9592,2.9354,2.9375,3634234.9
1757386800000,2.9375,2.9526,2.9337,2.9501,3679129.9
1757390400000,2.95,2.967,2.9444,2.9629,4526865.5
1757394000000,2.9629,2.9684,2.9518,2.9647,3079745.4
1757397600000,2.9647,2.9978,2.9626,2.9929,8509162.6
1757401200000,2.9929,3.0277,2.992,3.02,12493415.0
1757404800000,3.02,3.0365,3.0136,3.0242,7911258.6
1757408400000,3.0241,3.026,3.0073,3.0076,3111244.4
1757412000000,3.0076,3.0161,2.9991,3.0038,3750175.6
1757415600000,3.0038,3.0156,3.0005,3.0043,4708204.9
1757419200000,3.0043,3.03,2.9983,3.0079,6088372.9
1757422800000,3.0078,3.0185,2.997,3.0122,3672452.8
1757426400000,3.0123,3.019,2.9523,2.9674,13061616.2
1757430000000,2.9674,2.9716,2.9367,2.9471,9026053.0
1757433600000,2.9471,2.9584,2.9436,2.953,2804040.8
1757437200000,2.9529,2.9647,2.9502,2.9543,2448525.9
1757440800000,2.9544,2.966,2.9517,2.9619,1668897.4
1757444400000,2.962,2.9729,2.9607,2.9651,2329162.5
1757448000000,2.9652,2.9685,2.9466,2.9547,2462838.9
1757451600000,2.9548,2.9625,2.95,2.9513,1911662.7
1757455200000,2.9513,2.955,2.9464,2.9506,1757261.5
1757458800000,2.9505,2.951,2.9404,2.9474,3895070.0
1757462400000,2.9474,2.9512,2.9357,2.9374,3319588.9
1757466000000,2.9373,2.9556,2.9363,2.949,1713652.8
1757469600000,2.9489,2.9641,2.9488,2.9591,3441709.8
1757473200000,2.9592,2.9637,2.9528,2.9625,2021317.5
1757476800000,2.9624,2.965,2.9553,2.9598,1619719.2
1757480400000,2.9598,2.963,2.9501,2.96,2315979.3
1757484000000,2.9599,2.96,2.9457,2.9529,3618733.6
1757487600000,2.9529,2.9812,2.9517,2.981,5158446.1
1757491200000,2.9811,2.9871,2.9693,2.9696,3047611.6
1757494800000,2.9695,2.9775,2.961,2.9685,1629568.9
1757498400000,2.9684,2.9696,2.9603,2.9645,1975786.4
1757502000000,2.9645,2.9736,2.9626,2.971,2009996.4
1757505600000,2.9711,3.0065,2.9704,2.9992,9914286.6
1757509200000,2.9991,3.024,2.9921,3.0128,10443705.2
1757512800000,3.0129,3.0208,2.998,2.9986,5851096.1
1757516400000,2.9987,3.0098,2.9932,3.0025,4767306.9
1757520000000,3.0026,3.0054,2.9906,3.005,5760471.4
1757523600000,3.005,3.014,2.9917,3.0029,3657982.9
1757527200000,3.0029,3.0069,2.9889,2.9981,2359707.9
1757530800000,2.9981,2.9993,2.9672,2.9785,3235795.2
1757534400000,2.9785,2.9888,2.9721,2.9742,2490622.6
1757538000000,2.9743,2.9847,2.9718,2.9806,1513469.0
1757541600000,2.9806,2.9865,2.9761,2.9782,1541447.2
1757545200000,2.9782,2.9862,2.9782,2.9834,1920676.5
1757548800000,2.9834,2.9943,2.9772,2.9902,2026354.0
1757552400000,2.9902,2.9979,2.9891,2.9956,1728340.6
1757556000000,2.9955,2.9969,2.9876,2.988,1321360.0
1757559600000,2.9879,3.0118,2.9876,3.0091,3781003.6
1757563200000,3.0092,3.0139,3.0018,3.0089,2712513.6
1757566800000,3.009,3.01,2.9969,3.0069,3674179.4
1757570400000,3.0069,3.0069,2.9959,3.0,3455790.6
1757574000000,3.0,3.006,2.9914,3.0034,2953589.9
1757577600000,3.0033,3.0199,2.9984,3.0161,4491103.4
1757581200000,3.0161,3.035,3.0107,3.0273,7522360.5
1757584800000,3.0272,3.0324,3.0119,3.016,3688177.6
1757588400000,3.016,3.0179,3.0034,3.0077,3507415.2
1757592000000,3.0077,3.034,2.9507,2.9983,25454462.8
1757595600000,2.9983,3.0134,2.9758,3.0121,7268626.5
1757599200000,3.0122,3.0125,2.9852,2.9986,4310292.6
1757602800000,2.9987,3.0057,2.9893,2.9949,3316124.0
1757606400000,2.995,3.004,2.99,2.9961,2646250.6
1757610000000,2.9962,3.0136,2.9919,3.0136,2629770.9
1757613600000,3.0135,3.0344,3.0072,3.0239,5876136.9
1757617200000,3.024,3.0336,3.0208,3.0257,5738467.3
1757620800000,3.0258,3.0294,3.0109,3.0122,3851509.7
1757624400000,3.0123,3.0239,3.0111,3.0137,3020290.2
1757628000000,3.0137,3.0288,3.013,3.024,3418544.5
