timestamp,open,high,low,close,volume
1756857600000,851.8,854.0,850.0,850.68,5007.449
1756861200000,850.68,852.16,848.91,852.1,4009.47
1756864800000,852.1,853.63,850.75,853.1,3445.38
1756868400000,853.1,853.7,851.12,851.57,2456.835
1756872000000,851.56,852.8,851.03,852.49,2794.038
1756875600000,852.5,852.5,850.4,850.61,1899.301
1756879200000,850.61,852.56,849.45,851.9,3427.316
1756882800000,851.9,854.69,850.84,854.65,4766.536
1756886400000,854.64,855.21,852.9,853.35,3908.484
1756890000000,853.35,854.5,852.07,854.31,3425.358
1756893600000,854.32,854.57,853.23,853.63,4117.905
1756897200000,853.63,855.0,853.4,854.01,3633.679
1756900800000,854.01,854.44,852.1,852.27,6026.203
1756904400000,852.27,858.1,852.27,856.96,8721.028
1756908000000,856.96,864.06,856.45,861.24,13955.968
1756911600000,861.24,862.0,858.43,860.31,8190.831
1756915200000,860.3,861.44,857.59,858.67,3465.547
1756918800000,858.68,862.36,858.68,860.1,5829.275
1756922400000,860.1,861.18,858.49,858.49,3703.579
1756926000000,858.48,861.0,856.62,857.01,6421.784
1756929600000,857.01,857.22,852.4,854.47,9500.917
1756933200000,854.47,856.17,853.3,854.63,3352.889
1756936800000,854.62,855.61,853.71,855.47,2345.929
1756940400000,855.47,855.66,853.96,854.76,2047.321
1756944000000,854.76,856.72,854.31,856.33,2631.256
1756947600000,856.33,856.44,854.04,855.0,2203.117
1756951200000,855.0,855.38,850.5,850.6,5357.721
1756954800000,850.6,851.83,848.01,848.68,6075.294
1756958400000,848.68,849.74,845.08,847.28,6531.373
1756962000000,847.28,848.03,844.36,846.95,7840.809
1756965600000,846.95,848.11,845.83,846.88,3724.532
1756969200000,846.88,848.5,846.56,847.71,4642.006
1756972800000,847.7,849.37,847.15,847.75,4387.402
1756976400000,847.75,849.12,847.11,847.84,4262.713
1756980000000,847.84,849.52,847.0,848.0,5096.122
1756983600000,848.0,849.84,847.32,847.78,3639.511
1756987200000,847.78,849.79,846.67,848.79,3827.485
1756990800000,848.8,849.35,846.63,847.85,5529.381
1756994400000,847.84,848.4,844.5,846.33,6672.822
1756998000000,846.33,846.33,842.81,844.26,7726.531
1757001600000,844.25,845.65,843.5,845.0,4810.858
1757005200000,845.0,846.75,844.15,844.6,3767.482
1757008800000,844.6,846.39,841.1,841.85,5621.419
1757012400000,841.85,844.6,841.1,843.53,3605.455
1757016000000,843.54,846.48,843.3,845.73,2931.941
1757019600000,845.73,848.15,845.31,848.03,2621.538
1757023200000,848.04,849.47,847.3,848.94,2045.161
1757026800000,848.93,849.73,843.24,843.63,2643.973
1757030400000,843.62,845.32,842.22,844.0,3702.829
1757034000000,844.0,846.93,843.56,846.56,2251.334
1757037600000,846.56,847.75,845.44,847.34,3167.854
1757041200000,847.34,847.34,844.48,845.78,2104.771
1757044800000,845.78,846.36,843.61,846.01,3111.302
1757048400000,846.0,847.53,845.35,846.76,3068.125
1757052000000,846.77,847.02,845.1,846.7,2886.664
1757055600000,846.7,851.17,846.69,850.68,8712.803
1757059200000,850.67,850.92,847.53,849.6,5326.378
1757062800000,849.6,850.34,847.56,849.6,3418.531
1757066400000,849.59,850.54,848.8,850.15,3448.329
1757070000000,850.14,851.0,849.46,850.9,2353.568
1757073600000,850.89,854.62,849.15,854.41,13734.2
1757077200000,854.41,857.73,853.77,856.12,10976.149
1757080800000,856.12,856.12,844.71,847.91,25192.253
1757084400000,847.91,850.0,846.71,848.81,6592.438
