2026-05-27 02:30:57 | INFO     | Precio: 75690.00 | Fase: neutral | H4: bullish
2026-05-27 02:32:00 | INFO     | Precio: 75686.35 | Fase: neutral | H4: bullish
2026-05-27 02:32:46 | INFO     | Precio: 75672.56 | Fase: neutral | H4: bullish
2026-05-27 10:52:12 | INFO     | Precio: 75029.58 | Fase: compressing | H4: bullish
2026-05-27 11:05:21 | INFO     | Precio: 75205.19 | Fase: compressing | H4: bullish
2026-05-27 11:16:58 | INFO     | Precio: 75070.00 | Fase: compressing | H4: bullish
2026-05-27 11:25:36 | INFO     | Precio: 74927.92 | Fase: compressing | H4: bullish
2026-05-27 11:26:29 | INFO     | Precio: 74894.93 | Fase: compressing | H4: bullish
2026-05-27 11:26:41 | INFO     | Precio: 74903.49 | Fase: compressing | H4: bullish
2026-05-27 11:27:45 | INFO     | Precio: 74870.01 | Fase: compressing | H4: bullish
2026-05-27 11:28:49 | INFO     | Precio: 74826.67 | Fase: compressing | H4: bullish
2026-05-27 11:29:55 | INFO     | Precio: 74886.03 | Fase: compressing | H4: bullish
2026-05-27 11:31:05 | INFO     | Precio: 74959.30 | Fase: compressing | H4: bullish
2026-05-27 11:32:21 | INFO     | Precio: 75000.73 | Fase: compressing | H4: bullish
2026-05-27 11:35:24 | INFO     | Precio: 74998.89 | Fase: compressing | H4: bullish
2026-05-27 11:45:19 | INFO     | Precio: 75069.85 | Fase: compressing | H4: bullish
2026-05-27 12:18:12 | INFO     | Precio: 75195.99 | Fase: compressing | H4: bullish
2026-05-27 12:22:30 | INFO     | Precio: 0.00 | Estado: FORMING | Score: 56
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 53
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 46
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 46
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 46
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 46
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 47
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 47
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 69
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 72
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 72
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 72
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 75
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 72
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
