time,pair,signal,entry,sl,tp1,tp2,exit,pnl,reason,contracts,balance,cummax,dd
2026-03-29 12:00:00+00:00,BTCUSDT,SHORT,66456.477,67423.51788,65172.22318,63821.44636,65172.22318,1.0147822966407942,TP1,0.0008328540905817444,101.01478229664079,101.01478229664079,0.0
2026-04-15 16:00:00+00:00,BTCUSDT,LONG,75077.6026,73652.55320000001,77027.6702,79052.7404,73652.55320000001,-0.8414320917846998,SL,0.0005611737809569312,100.17335020485609,101.01478229664079,-0.8329791666666573
2026-04-19 08:00:00+00:00,BTCUSDT,LONG,75679.71410999999,74717.98456,76933.29816,78262.48632000001,74717.98456,-0.8791581896459066,SL,0.0008478485016031339,99.29419201521019,101.01478229664079,-1.7033054393741147
2026-04-23 12:00:00+00:00,BTCUSDT,LONG,78455.13675999998,76965.97832,80492.93252,82609.10504,76965.97832,-0.8270999331966898,SL,0.0005278679548164224,98.4670920820135,101.01478229664079,-2.5220964265860895
2026-04-24 08:00:00+00:00,BTCUSDT,LONG,78318.50025999999,76831.93531999999,80352.74702000001,82465.23404000001,76831.93531999999,-0.8202103630656535,SL,0.0005243841857653884,97.64688171894784,101.01478229664079,-3.334067055456049
2026-04-25 20:00:00+00:00,BTCUSDT,LONG,77702.62499999999,76985.94954,78583.57569,79542.15138,78583.57569,0.9200172285704571,TP1,0.0011459996647089658,98.5668989475183,101.01478229664079,-2.423292208791797
2026-04-29 12:00:00+00:00,BTCUSDT,SHORT,75848.32575,77290.88650000001,73874.29525,71824.34049999998,77290.88650000001,-0.821739915663094,SL,0.0005409278488510934,97.74515903185521,101.01478229664079,-3.2367770245586223
2026-05-14 20:00:00+00:00,BTCUSDT,SHORT,81008.90001000001,82212.22626000001,79406.63561,77723.28121999999,79406.63561,0.9942670242777283,TP1,0.0006532391786546897,98.73942605613294,101.01478229664079,-2.2524982866626573
2026-05-16 20:00:00+00:00,BTCUSDT,SHORT,78069.90195,79554.7149,76038.05265,73928.05529999999,76038.05265,1.0291116680700465,TP1,0.0005264549470318034,99.76853772420299,101.01478229664079,-1.2337249500554002
2026-05-19 00:00:00+00:00,BTCUSDT,SHORT,76710.32289,78169.27798,74713.85803,72640.60606,78169.27798,-0.8317578279394666,SL,0.000541369821728559,98.93677989626352,101.01478229664079,-2.057127039362412
2026-05-29 00:00:00+00:00,BTCUSDT,SHORT,73228.21848000001,74620.94736,71322.37896,69343.23792,71322.37896,1.0311685884688113,TP1,0.0005623847676024972,99.96794848473233,101.01478229664079,-1.0363174459301572
2026-06-07 12:00:00+00:00,BTCUSDT,SHORT,62031.89601,63085.92,60606.095,59118.2,63085.92,-0.843979678203329,SL,0.0007558593989853036,99.123968806529,101.01478229664079,-1.8718186062701245
2026-06-14 20:00:00+00:00,BTCUSDT,LONG,65812.19644999999,64563.0139,67521.60415,69296.75829999999,64563.0139,-0.8256820093315459,SL,0.000628195950798668,98.29828679719746,101.01478229664079,-2.6892059139087627
2026-04-02 20:00:00+00:00,ETHUSDT,SHORT,2055.11283,2094.19906,1990.5176920000004,1923.8653840000006,2094.19906,-0.8195005297423833,SL,0.019909691225728682,97.47878626745508,101.01478229664079,-3.5004738403552436
2026-04-10 08:00:00+00:00,ETHUSDT,LONG,2217.8656499999997,2175.7683,2287.4370599999997,2359.22412,2287.4370599999997,1.2340530028333203,TP1,0.018331487800317264,98.7128392702884,101.01478229664079,-2.2788179848692707
2026-04-15 16:00:00+00:00,ETHUSDT,LONG,2377.42505,2332.2991,2452.00162,2528.9532400000003,2332.2991,-0.8222573859466481,SL,0.017317677394561585,97.89058188434176,101.01478229664079,-3.092815072475711
2026-05-03 20:00:00+00:00,ETHUSDT,SHORT,2320.32735,2361.63384,2252.4790880000005,2182.3081760000005,2361.63384,-0.8220091249972272,SL,0.01883291548838097,97.06857275934453,101.01478229664079,-3.9065663931322305
2026-05-13 12:00:00+00:00,ETHUSDT,SHORT,2234.25351,2276.74682,2164.0277239999996,2091.5654479999994,2276.74682,-0.8092485575230578,SL,0.018084247481422632,96.25932420182147,101.01478229664079,-4.707685337433489
2026-05-14 00:00:00+00:00,ETHUSDT,SHORT,2239.89786,2282.49852,2169.4946639999994,2096.849327999999,2282.49852,-0.8025019534550615,SL,0.01788829053973389,95.45682224836641,101.01478229664079,-5.502125453235976
2026-05-17 20:00:00+00:00,ETHUSDT,SHORT,2128.869,2169.358,2061.9556,1992.9111999999993,2061.9556,1.2097839688674594,TP1,0.018664324700525262,96.66660621723386,101.01478229664079,-4.304494827933241
2026-05-30 20:00:00+00:00,ETHUSDT,SHORT,2020.41756,2050.68318,1971.602276,1920.7645520000003,1971.602276,1.2018459848700065,TP1,0.025669897887888527,97.86845220210387,101.01478229664079,-3.11472244259992
2026-06-10 08:00:00+00:00,ETHUSDT,SHORT,1618.42995,1649.2109,1567.56038,1515.0707599999996,1649.2109,-0.8159170524524167,SL,0.025171150119364598,97.05253514965145,101.01478229664079,-3.922442890936275
2026-03-29 12:00:00+00:00,SOLUSDT,SHORT,81.72819,83.28258000000001,78.86483999999999,75.91967999999997,83.28258000000001,-0.8091148539757564,SL,0.49429845144059126,96.24342029567569,101.01478229664079,-4.723429474859906
2026-04-24 08:00:00+00:00,SOLUSDT,LONG,86.27618999999999,84.63857999999999,89.29284000000001,92.39568000000003,84.63857999999999,-0.8016876403504146,SL,0.46526772390298415,95.44173265532528,101.01478229664079,-5.517063458048789
2026-05-17 20:00:00+00:00,SOLUSDT,SHORT,85.15476,86.77432,82.17135999999998,79.10271999999996,86.77432,-0.7956857949308682,SL,0.46653435718425074,94.64604686039442,101.01478229664079,-6.304755889631965
2026-05-18 12:00:00+00:00,SOLUSDT,SHORT,84.11580000000001,85.71560000000001,81.16879999999999,78.13759999999998,85.71560000000001,-0.7890522619192516,SL,0.46835929760686074,93.85699459847517,101.01478229664079,-7.085881427874592
