entry,exit,dir,entry_p,exit_p,pnl,regime,strategy,reason
2026-01-03 23:00:00+00:00,2026-01-04 00:00:00+00:00,1,3128.7517791428572,3145.7950353584574,48.31821684624545,TENDENCIA_ALCISTA,trend,tp
2026-01-07 08:00:00+00:00,2026-01-07 08:15:00+00:00,1,3257.6113185714285,3278.9780491648567,65.67672201027672,RANGO,range,sl
2026-01-08 12:00:00+00:00,2026-01-09 12:00:00+00:00,-1,3092.306133714286,3093.0031755124573,-5.403012509623531,TENDENCIA_BAJISTA,trend,timeout
2026-01-09 21:00:00+00:00,2026-01-09 21:15:00+00:00,1,3089.8682914285714,3141.6809549131426,82.94136100801425,RANGO,range,sl
2026-01-10 11:00:00+00:00,2026-01-10 11:15:00+00:00,-1,3095.4870305714285,3084.8726688346856,56.30172552267277,RANGO,range,sl
2026-01-11 00:00:00+00:00,2026-01-11 00:15:00+00:00,1,3093.285253142857,3092.5944858065145,-201.952120740884,RANGO,range,sl
2026-01-11 13:00:00+00:00,2026-01-11 13:15:00+00:00,-1,3108.066608,3094.0931133215995,65.16885800342739,RANGO,range,sl
2026-01-13 22:00:00+00:00,2026-01-14 22:00:00+00:00,1,3335.247378857143,3359.5318076670856,15.660266830490546,RUPTURA,breakout,timeout
2026-01-17 11:00:00+00:00,2026-01-17 11:15:00+00:00,1,3304.1486154285712,3302.341098848343,-492.90675489184474,RANGO,range,sl
2026-01-18 00:00:00+00:00,2026-01-18 00:15:00+00:00,1,3306.247191714286,3319.362464847371,57.06046570162134,RANGO,range,sl
2026-01-18 13:00:00+00:00,2026-01-18 13:15:00+00:00,-1,3324.2463874285713,3305.1932778489145,68.08867045081587,RANGO,range,sl
2026-01-20 14:00:00+00:00,2026-01-21 14:00:00+00:00,-1,3044.211002,2977.2883422004,120.68758058013104,RUPTURA,breakout,timeout
2026-01-24 08:00:00+00:00,2026-01-24 08:15:00+00:00,1,2965.104338285714,2968.425264846628,4.7997138339390375,RANGO,range,sl
2026-01-24 22:00:00+00:00,2026-01-24 22:15:00+00:00,-1,2961.5691857142856,2950.660528122857,57.08529046298676,RANGO,range,sl
2026-01-26 01:00:00+00:00,2026-01-27 01:00:00+00:00,1,2886.588252285714,2912.8509680638285,38.514858935383074,RUPTURA,breakout,timeout
2026-01-27 02:00:00+00:00,2026-01-28 02:00:00+00:00,1,2948.79555,3008.69374089,95.82632509220849,TENDENCIA_ALCISTA,trend,timeout
2026-01-29 00:00:00+00:00,2026-01-29 00:15:00+00:00,1,3012.601112285714,3035.338265491828,68.58682260846672,RANGO,range,sl
2026-01-29 15:00:00+00:00,2026-01-30 15:00:00+00:00,-1,2821.1156360000004,2741.2437231272,85.81624854660177,RUPTURA,breakout,timeout
2026-01-31 08:00:00+00:00,2026-02-01 08:00:00+00:00,-1,2640.791122571429,2415.808229653086,322.3014908754723,TENDENCIA_BAJISTA,trend,timeout
2026-02-01 23:00:00+00:00,2026-02-02 23:00:00+00:00,-1,2264.1902557142857,2357.5385523368573,-172.7771080777426,RUPTURA,breakout,timeout
2026-02-03 17:00:00+00:00,2026-02-04 17:00:00+00:00,-1,2190.9386922857143,2144.4104734527427,56.629366985158335,RUPTURA,breakout,timeout
