symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score,fib_low_key,fib_high_key,fib_width,phase_h1,ci_value,wr_5m,wr_15m,st_aligned,st_bias_bullish,st_bias_bearish,mom_score,mom_direction,vol_ratio_5m,body_ratio_4h,hour_of_day,direction_long
BTCUSDT,2024-07-27T04:00:00+00:00,bullish,67806.04,67826.500422,67494.74,68272.98999999998,0.0024092515258593897,1.3418,"['be_50%@7569', {'type': 'tp1', 'contracts': np.float64(0.0014455509155156339), 'price': np.float64(68272.98999999998), 'pnl': np.float64(0.6454234178330467), 'comm': np.float64(0.049346041599744844)}, {'type': 'tp2', 'contracts': np.float64(0.000963700610343756), 'price': np.float64(68719.47957771424), 'pnl': np.float64(0.860564557110729), 'comm': np.float64(0.03311250220577424)}]",tp2_reached,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=50.02062172327122 WR=-89.29543686803295 ST=bullish Veto=False,100,0.75,1.0,0.06081359370145658,compressing,50.02062172327122,-89.29543686803295,-48.096640609429095,0,1,0,0.610305944431659,bullish,0.5909690500462261,0.4655912300549802,4,0
BTCUSDT,2024-07-27T05:00:00+00:00,bullish,67916.01,67932.885702,67637.46398,68333.82903,0.002728682603721701,-0.1943,"['be_50%@7572', {'type': 'sl_full', 'contracts': np.float64(0.002728682603721701), 'price': np.float64(67929.59320199999), 'pnl': np.float64(-0.008984187472742582), 'comm': np.float64(0.09267914962409465)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=47.28467318743359 WR=-8.242324335462799 ST=bullish Veto=False,100,0.75,1.0,0.06081359370145658,compressing,47.28467318743359,-8.242324335462799,-35.55594924375174,1,1,0,0.6171606018445124,bullish,1.21859370788149,0.4655912300549802,5,0
BTCUSDT,2024-07-27T06:00:00+00:00,bullish,67935.0,67951.598214,67637.46398,68381.30403,0.002549627694720097,-0.1809,"['be_50%@7573', {'type': 'sl_full', 'contracts': np.float64(0.002549627694720097), 'price': np.float64(67948.587), 'pnl': np.float64(-0.007677475337584525), 'comm': np.float64(0.08662179961614898)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=56.600437166303074 WR=-45.671858022456775 ST=bullish Veto=False,100,0.75,1.0,0.06081359370145658,compressing,56.600437166303074,-45.671858022456775,-53.17280269639632,0,1,0,0.637978994794083,bullish,0.9526770110948273,0.4655912300549802,6,0
BTCUSDT,2024-08-06T12:00:00+00:00,bullish,55300.0,55330.774929,54758.62328,56112.06508,0.0009324980947573619,-0.6032,"[{'type': 'sl_full', 'contracts': np.float64(0.0009324980947573619), 'price': np.float64(54738.908351428574), 'pnl': np.float64(-0.5519144555362684), 'comm': np.float64(0.025521963873402494)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=trending CI=68.75870453683561 WR=-18.939322804183917 ST=bearish Veto=False,85,0.25,0.5,0.09710701571342444,trending,68.75870453683561,-18.939322804183917,-16.714656259667724,0,0,1,-0.4955789923298236,bearish,1.2195593807654246,0.535451578386557,12,0
BTCUSDT,2024-08-15T09:00:00+00:00,bullish,58424.2,58446.624197,57598.45224,59662.821639999995,0.001823135148111465,1.2153,"['be_50%@13111', {'type': 'tp1', 'contracts': np.float64(0.001093881088866879), 'price': np.float64(59662.821639999995), 'pnl': np.float64(1.3303753830696834), 'comm': np.float64(0.03263201615021679)}, {'type': 'sl_rem', 'contracts': np.float64(0.000729254059244586), 'price': np.float64(58435.88484), 'pnl': np.float64(-0.007831719790104141), 'comm': np.float64(0.021307303112559583)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=51.041536188143674 WR=-13.20572896984349 ST=bearish Veto=False,95,0.25,0.5,0.09710701571342444,compressing,51.041536188143674,-13.20572896984349,-18.039359060021514,0,0,1,-0.7317826149143383,bearish,1.2213446640749581,0.7544052863436124,9,0
BTCUSDT,2024-08-15T10:00:00+00:00,bullish,58411.99,58432.592969,57848.9203,59256.594549999994,0.002706023178265661,1.1694,"['be_50%@13102', {'type': 'tp1', 'contracts': np.float64(0.0016236139069593966), 'price': np.float64(59256.594549999994), 'pnl': np.float64(1.3378604255722948), 'comm': np.float64(0.04810491549521719)}, {'type': 'sl_rem', 'contracts': np.float64(0.0010824092713062645), 'price': np.float64(58423.672397999995), 'pnl': np.float64(-0.009655709219634843), 'comm': np.float64(0.03161916233367754)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=42.20160063649824 WR=-55.229596872903386 ST=bearish Veto=False,95,0.25,0.5,0.09710701571342444,compressing,42.20160063649824,-55.229596872903386,-18.17921454909997,0,0,1,-0.7590535802415793,bearish,0.6424145279266266,0.7544052863436124,10,0
BTCUSDT,2024-08-18T06:00:00+00:00,bullish,59480.0,59498.696929,59138.046879999994,59992.92968000001,0.004507111878741926,1.0554,"['be_50%@13933', {'type': 'tp1', 'contracts': np.float64(0.0027042671272451556), 'price': np.float64(59992.92968000001), 'pnl': np.float64(1.3365373828962321), 'comm': np.float64(0.08111845380037713)}, {'type': 'sl_rem', 'contracts': np.float64(0.0018028447514967705), 'price': np.float64(59491.896), 'pnl': np.float64(-0.012261018380304864), 'comm': np.float64(0.05362732623009586)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=45.15144163233503 WR=-74.66264812658319 ST=bullish Veto=False,95,0.5,0.75,0.08851189020086422,compressing,45.15144163233503,-74.66264812658319,-69.34011671405013,0,1,0,-0.0827452000080837,neutral,0.5443514901317814,0.5345686843058959,6,0
BTCUSDT,2024-08-19T15:00:00+00:00,bullish,58605.35,58635.273356,57913.710459999995,59642.809310000004,0.001500832522544367,2.0279,"['be_50%@14322', {'type': 'tp1', 'contracts': np.float64(0.0009004995135266202), 'price': np.float64(59642.809310000004), 'pnl': np.float64(0.9072856366948687), 'comm': np.float64(0.02685416038450799)}, {'type': 'tp2', 'contracts': np.float64(0.0006003330090177468), 'price': np.float64(60650.34526428572), 'pnl': np.float64(1.209714182259825), 'comm': np.float64(0.01820520213523695)}]",tp2_reached,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=55.34213172298959 WR=-15.212903845230612 ST=bearish Veto=False,80,0.25,0.5,0.09710701571342444,compressing,55.34213172298959,-15.212903845230612,-40.629420460951124,0,0,1,-0.6679895094355237,bearish,1.0931150483190621,0.15134594726821646,15,0
BTCUSDT,2024-09-01T20:00:00+00:00,bearish,58530.24,58508.106023,58906.50786,57965.83821,0.004218993796525213,2.9577,"['be_50%@18112', {'type': 'tp1', 'contracts': np.float64(0.0025313962779151275), 'price': np.float64(57965.83821), 'pnl': np.float64(1.3726947245462493), 'comm': np.float64(0.07336725354551224)}, {'type': 'tp2', 'contracts': np.float64(0.0016875975186100853), 'price': np.float64(57423.570396571435), 'pnl': np.float64(1.830259632728333), 'comm': np.float64(0.04845393745549276)}]",tp2_reached,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=43.97733347753182 WR=-50.67494824016605 ST=bullish Veto=False,100,0.5,0.75,0.07017543859649122,compressing,43.97733347753182,-50.67494824016605,-22.814531217892313,0,1,0,-0.5179603804340593,bearish,0.5506325286973859,0.8349463069218982,20,0
BTCUSDT,2024-09-01T21:00:00+00:00,bearish,58404.01,58385.025127,58892.55,57671.2,0.003340232989403576,1.2265,"['be_50%@18123', {'type': 'tp1', 'contracts': np.float64(0.0020041397936421453), 'price': np.float64(57671.2), 'pnl': np.float64(1.4306053418634546), 'comm': np.float64(0.057790573433547446)}, {'type': 'sl_rem', 'contracts': np.float64(0.0013360931957614305), 'price': np.float64(58392.32919800001), 'pnl': np.float64(-0.009758920137073713), 'comm': np.float64(0.039008796863054654)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=47.230702593012104 WR=-91.68933870207 ST=bullish Veto=False,100,0.5,0.75,0.07017543859649122,compressing,47.230702593012104,-91.68933870207,-58.94777873874728,0,1,0,-0.5252545312636177,bearish,0.4841808263961378,0.8349463069218982,21,0
