symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score,fib_low_key,fib_high_key,fib_width,phase_h1,ci_value,wr_5m,wr_15m,st_aligned,st_bias_bullish,st_bias_bearish,mom_score,mom_direction,vol_ratio_5m,body_ratio_4h,hour_of_day,direction_long
BTCUSDT,2023-04-07T04:00:00+00:00,bearish,28028.1,28021.155523,28135.28826,27867.317609999995,0.013994069872950295,0.8927,"['be_50%@1794', {'type': 'tp1', 'contracts': np.float64(0.008396441923770176), 'price': np.float64(27867.317609999995), 'pnl': np.float64(1.291691100979051), 'comm': np.float64(0.11699315694181144)}, {'type': 'sl_rem', 'contracts': np.float64(0.005597627949180118), 'price': np.float64(28022.49438), 'pnl': np.float64(-0.00749442416282482), 'comm': np.float64(0.0784297488736154)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=43.19222837016295 WR=-31.017263518335792 ST=bullish Veto=False,99,0.5,0.75,0.014454404189935918,compressing,43.19222837016295,-31.017263518335792,-40.93267235416104,0,1,0,-0.17631894022207528,bearish,0.7589901552712406,0.6724027181446257,4,0
BTCUSDT,2023-04-07T06:00:00+00:00,bearish,27984.61,27976.020792,28118.85546,27783.241810000003,0.011273309589037304,0.9757,"['be_50%@1818', {'type': 'tp1', 'contracts': np.float64(0.006763985753422382), 'price': np.float64(27783.241810000003), 'pnl': np.float64(1.3039542897398224), 'comm': np.float64(0.09396272589336455)}, {'type': 'sl_rem', 'contracts': np.float64(0.004509323835614922), 'price': np.float64(27979.013078), 'pnl': np.float64(-0.013493185294393849), 'comm': np.float64(0.06308321528480351)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=41.77619727784437 WR=-23.438879777973792 ST=bearish Veto=False,100,0.25,0.5,0.014666398238079551,compressing,41.77619727784437,-23.438879777973792,-58.010025062656425,1,0,1,-0.3585536995873358,bearish,0.5137841802712344,0.6724027181446257,6,0
BTCUSDT,2023-04-12T00:00:00+00:00,bearish,30244.88,30236.20331,30334.73838,30110.092430000004,0.0056682767237950585,-0.7451,"[{'type': 'sl_full', 'contracts': np.float64(0.0056682767237950585), 'price': np.float64(30337.366094285713), 'pnl': np.float64(-0.5734186571005006), 'comm': np.float64(0.08598029304674455)}]",full_sl,Fib=0.75-1.0 Sig=SHORT Phase=compressing CI=63.58244033344525 WR=-25.667746737891243 ST=bearish Veto=False,85,0.75,1.0,0.028184713804532448,compressing,63.58244033344525,-25.667746737891243,-7.528981854836993,0,0,1,0.6993413678156597,bullish,2.1788680509509195,0.5172131908964225,0,0
BTCUSDT,2023-04-12T01:00:00+00:00,bearish,30196.72,30186.587942,30410.77014,29875.644790000002,0.0035432121262984925,0.5486,"['be_50%@3194', {'type': 'tp1', 'contracts': np.float64(0.0021259272757790954), 'price': np.float64(29875.644790000002), 'pnl': np.float64(0.6610425274461135), 'comm': np.float64(0.031756724070274314)}, {'type': 'sl_rem', 'contracts': np.float64(0.001417284850519397), 'price': np.float64(30190.680656), 'pnl': np.float64(-0.0058005419546474256), 'comm': np.float64(0.021394397160308908)}]",tp1_partial_then_sl,Fib=0.75-1.0 Sig=SHORT Phase=compressing CI=54.26558172997302 WR=-82.68183533725 ST=bearish Veto=False,95,0.75,1.0,0.028184713804532448,compressing,54.26558172997302,-82.68183533725,-51.47796733874553,0,0,1,0.7080199155710992,bullish,1.7755277728707404,0.5172131908964225,1,0
BTCUSDT,2023-04-16T06:00:00+00:00,bullish,30302.72,30310.231258,30168.88132,30503.478020000002,0.01139490680271451,-1.9718,"[{'type': 'sl_full', 'contracts': np.float64(0.01139490680271451), 'price': np.float64(30167.430605714286), 'pnl': np.float64(-1.6272001274182584), 'comm': np.float64(0.1718775301147358)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=42.18386814434336 WR=-66.13531703860842 ST=bullish Veto=False,95,0.75,1.0,0.03161191691464172,compressing,42.18386814434336,-66.13531703860842,-18.217124277458165,0,1,0,-0.07327544236787012,neutral,0.7281975625027023,0.6225419976559415,6,0
BTCUSDT,2023-04-24T04:00:00+00:00,bearish,27783.28,27774.254773,27900.69,27607.165,0.006368719672015455,1.3137,"['be_50%@6692', {'type': 'tp1', 'contracts': np.float64(0.0038212318032092726), 'price': np.float64(27607.165), 'pnl': np.float64(0.6384887529409435), 'comm': np.float64(0.05274668844722296)}, {'type': 'tp2', 'contracts': np.float64(0.002547487868806182), 'price': np.float64(27440.075227428573), 'pnl': np.float64(0.8513183372545915), 'comm': np.float64(0.03495162938050166)}]",tp2_reached,Fib=0.0-0.25 Sig=SHORT Phase=compressing CI=39.54802032335192 WR=-13.606770833334169 ST=bullish Veto=False,100,0.0,0.25,0.03764620778374343,compressing,39.54802032335192,-13.606770833334169,-42.758334236284135,0,1,0,-0.5454075133673251,bearish,0.9098555828685615,0.7522666666666676,4,0
BTCUSDT,2023-04-28T17:00:00+00:00,bullish,29267.98,29279.053025,28880.2238,29849.6143,0.003907629940275856,1.2145,"['be_50%@8532', {'type': 'tp1', 'contracts': np.float64(0.002344577964165513), 'price': np.float64(29849.6143), 'pnl': np.float64(1.3377253935760003), 'comm': np.float64(0.0349923739633099)}, {'type': 'sl_rem', 'contracts': np.float64(0.0015630519761103423), 'price': np.float64(29273.833596), 'pnl': np.float64(-0.008158238142738222), 'comm': np.float64(0.02287826172527656)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=56.01764718220593 WR=-16.1131239935589 ST=bullish Veto=False,100,0.5,0.75,0.03501020488819846,compressing,56.01764718220593,-16.1131239935589,-19.844073577780627,0,1,0,0.42790238506195716,bullish,1.333636483665854,0.539773571449786,17,0
BTCUSDT,2023-04-28T18:00:00+00:00,bullish,29229.48,29239.804325,29029.95374,29528.769389999998,0.007685329723827376,-0.2591,"['be_50%@8004', {'type': 'sl_full', 'contracts': np.float64(0.007685329723827376), 'price': np.float64(29235.325896000002), 'pnl': np.float64(-0.034418200216023966), 'comm': np.float64(0.11234155954715452)}]",full_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=54.37693432755044 WR=-45.286411507834515 ST=bullish Veto=False,100,0.5,0.75,0.03501020488819846,compressing,54.37693432755044,-45.286411507834515,-36.93009118541059,0,1,0,0.41998331437929537,bullish,0.5514951790166036,0.539773571449786,18,0
BTCUSDT,2023-04-29T00:00:00+00:00,bullish,29322.92,29331.362298,29218.1965,29480.00525,0.009736995158590268,-1.412,"[{'type': 'sl_full', 'contracts': np.float64(0.009736995158590268), 'price': np.float64(29215.618785714283), 'pnl': np.float64(-1.1269940215462375), 'comm': np.float64(0.14223616933585942)}]",full_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=62.91147127260613 WR=-59.67685589519803 ST=bearish Veto=False,83,0.5,0.75,0.03501020488819846,compressing,62.91147127260613,-59.67685589519803,-81.33805124172764,0,0,1,0.6321534666360851,bullish,0.8158756161512728,0.16656882888172977,0,0
BTCUSDT,2023-04-29T01:00:00+00:00,bullish,29236.07,29245.253428,29137.188840000003,29384.391739999995,0.015254249352228015,0.8064,"['be_50%@8092', {'type': 'tp1', 'contracts': np.float64(0.009152549611336809), 'price': np.float64(29384.391739999995), 'pnl': np.float64(1.2734703008026222), 'comm': np.float64(0.13447105159965275)}, {'type': 'sl_rem', 'contracts': np.float64(0.006101699740891206), 'price': np.float64(29241.917213999997), 'pnl': np.float64(-0.020356577842704508), 'comm': np.float64(0.08921269934391295)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=48.32498606785256 WR=-80.19274043635735 ST=bearish Veto=False,92,0.5,0.75,0.03501020488819846,compressing,48.32498606785256,-80.19274043635735,-75.45983403199621,0,0,1,0.6080132995788478,bullish,1.1143233603279532,0.16656882888172977,1,0
