entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,size,pnl_abs,pnl_pct,exit_reason,regime_at_entry,strategy
2026-01-03 17:00:00+00:00,2026-01-03 17:15:00+00:00,-1,90047.23848771429,89711.67216198325,89664.93,89801.45999999999,0.23306763622802673,57.261658137831844,0.005726165813783184,sl,RANGO,range
2026-01-07 02:00:00+00:00,2026-01-07 02:15:00+00:00,1,93052.75423971428,93742.02516343778,93845.03,93707.12,0.1123390038439994,66.93983922902595,0.006693983922902595,sl,RANGO,range
2026-01-08 03:00:00+00:00,2026-01-09 03:00:00+00:00,-1,90736.82710571428,91226.63757970686,91687.99,89645.19571428571,0.11575940151804537,-67.23215821171796,-0.006723215821171796,timeout,TENDENCIA_BAJISTA,trend
2026-01-09 06:00:00+00:00,2026-01-09 06:15:00+00:00,1,91196.87044457142,91572.79769733967,91632.1,91528.63,0.2033683033882362,57.86690893245347,0.005786690893245347,sl,RANGO,range
2026-01-09 21:00:00+00:00,2026-01-09 21:15:00+00:00,1,90631.42353685714,91693.8485724355,91783.32,91338.63,0.08148254922533972,79.14093627991247,0.007914093627991246,sl,RANGO,range
2026-01-10 11:00:00+00:00,2026-01-10 11:15:00+00:00,-1,90688.73394228572,90509.46903250275,90474.35,90545.035,0.4085598647095395,36.225290641602726,0.0036225290641602728,sl,RANGO,range
2026-01-11 00:00:00+00:00,2026-01-11 00:15:00+00:00,1,90670.98337371429,90628.48051761097,90659.03,90767.955,5.503067495971507,-732.7476792968682,-0.07327476792968682,sl,RANGO,range
2026-01-11 13:00:00+00:00,2026-01-11 13:15:00+00:00,-1,90817.2628242857,90642.45073827915,90610.27,90644.58499999999,0.3970839867761735,33.38770679779882,0.003338770679779882,sl,RANGO,range
2026-01-12 21:00:00+00:00,2026-01-12 21:15:00+00:00,1,91138.37981971429,92248.77353832177,92332.0,91720.905,0.07464456899125199,76.040433025577,0.0076040433025577,sl,RANGO,range
2026-01-13 11:00:00+00:00,2026-01-13 11:15:00+00:00,1,92059.05164800001,92613.78668967039,92672.11,92433.70000000001,0.14309371785357827,66.16633802412,0.006616633802411999,sl,RANGO,range
2026-01-16 04:00:00+00:00,2026-01-17 04:00:00+00:00,-1,95186.422742,95400.8122845484,95920.31,94144.98999999999,0.146779297647411,-45.45507672708446,-0.004545507672708446,timeout,TENDENCIA_BAJISTA,trend
2026-01-17 16:00:00+00:00,2026-01-17 16:15:00+00:00,1,95352.91776028571,95601.75470216222,95639.45,95598.16999999998,0.296946338807989,45.53957341740377,0.004553957341740377,sl,RANGO,range
2026-01-22 06:00:00+00:00,2026-01-22 06:15:00+00:00,-1,90085.23543514287,89789.69718994416,89702.84,89843.535,0.20613151853410558,42.38080076360032,0.004238080076360032,sl,RANGO,range
2026-01-22 19:00:00+00:00,2026-01-22 19:15:00+00:00,-1,89711.70506285715,88581.55169815542,88515.37,89136.83499999999,0.07695274227949962,80.1083230913494,0.00801083230913494,sl,RANGO,range
2026-01-23 10:00:00+00:00,2026-01-23 10:15:00+00:00,1,89100.87822657143,89914.62089578326,89969.02,89582.095,0.10618216094983382,76.90082880383574,0.007690082880383573,sl,RANGO,range
2026-01-24 02:00:00+00:00,2026-01-24 02:15:00+00:00,-1,89622.42843,89397.405485686,89317.0,89485.125,0.25586429241696756,34.67294485776373,0.0034672944857763732,sl,RANGO,range
2026-01-24 15:00:00+00:00,2026-01-24 15:15:00+00:00,1,89309.16379685714,89642.85952438349,89676.26,89528.025,0.24737688001615116,60.41431134929297,0.006041431134929298,sl,RANGO,range
2026-01-27 14:00:00+00:00,2026-01-27 14:15:00+00:00,1,87797.17486114286,87906.50970788492,88170.83,87958.675,0.23408588288475973,5.028868065461506,0.0005028868065461505,tp,RANGO,range
2026-01-29 00:00:00+00:00,2026-01-29 00:15:00+00:00,1,89229.907282,89809.9855185436,89896.0,89652.905,0.13259902202105342,65.04754951732583,0.006504754951732583,sl,RANGO,range
2026-01-29 17:00:00+00:00,2026-01-30 17:00:00+00:00,-1,84177.12995371429,82839.72314027647,86225.23,78390.48000000001,0.05111958013566476,64.09875907064617,0.006409875907064617,timeout,RUPTURA,breakout
2026-01-31 17:00:00+00:00,2026-02-01 17:00:00+00:00,-1,78796.44928742858,77738.6512184289,81629.005,74300.935,0.036934084885001044,36.17806332684149,0.0036178063326841488,timeout,RUPTURA,breakout
2026-02-02 13:00:00+00:00,2026-02-03 13:00:00+00:00,1,78347.14867228571,78287.76685597983,74911.14,80359.06428571428,0.030594553495680566,-4.212847806851231,-0.0004212847806851231,timeout,TENDENCIA_ALCISTA,trend
2026-02-03 03:00:00+00:00,2026-02-03 03:15:00+00:00,1,78848.95116400001,79091.1597097672,79186.81,79446.725,0.23377128356570023,38.16047141184354,0.0038160471411843536,sl,RANGO,range
2026-02-03 18:00:00+00:00,2026-02-04 18:00:00+00:00,-1,73033.508174,72964.5007016348,76670.58499999999,67774.215,0.028803741921392748,-0.11497105969043409,-1.1497105969043409e-05,timeout,RUPTURA,breakout
