simulacion,pnl_final,max_drawdown,win_rate
0,41.571500000000015,4.435500000000019,44.285714285714285
1,48.297799999999995,6.520700000000005,50.0
2,33.5437,7.9418999999999755,55.714285714285715
3,53.00630000000001,3.074399999999997,54.285714285714285
4,72.10149999999999,3.6632000000000033,55.714285714285715
5,55.91719999999998,3.663199999999989,64.28571428571429
6,65.85720000000003,4.834400000000002,60.0
7,51.90090000000001,3.0936000000000092,50.0
8,56.76460000000003,2.9377999999999815,58.57142857142858
9,91.63529999999997,3.2280000000000086,68.57142857142857
10,56.988,6.920500000000004,55.714285714285715
11,31.545000000000016,5.708600000000004,45.714285714285715
12,81.9819,4.270700000000005,55.714285714285715
13,69.79360000000003,2.4927000000000135,64.28571428571429
14,54.54130000000001,4.724199999999982,61.42857142857143
15,69.84880000000001,5.560600000000022,57.14285714285714
16,55.04910000000001,5.8459,55.714285714285715
17,45.481400000000036,5.321100000000001,48.57142857142857
18,52.3844,4.300399999999996,52.85714285714286
19,69.53930000000003,4.626299999999986,55.714285714285715
20,39.057300000000026,4.580600000000004,48.57142857142857
21,42.38670000000002,3.872399999999999,48.57142857142857
22,67.64690000000002,5.199499999999986,61.42857142857143
23,54.21440000000001,6.280699999999996,51.42857142857142
24,57.8904,6.318399999999997,51.42857142857142
25,56.29599999999999,3.066100000000006,57.14285714285714
26,49.422200000000004,3.024400000000014,51.42857142857142
27,41.1687,4.568399999999997,41.42857142857143
28,67.31130000000002,3.3011999999999944,61.42857142857143
29,46.37530000000001,4.566599999999994,48.57142857142857
30,51.29230000000001,4.6658999999999935,54.285714285714285
31,65.47509999999994,2.766599999999997,57.14285714285714
32,52.318899999999985,4.5767999999999915,52.85714285714286
33,57.199299999999994,4.184100000000001,55.714285714285715
34,54.95949999999999,3.7672000000000025,52.85714285714286
35,45.801300000000026,6.1281999999999925,50.0
36,45.827,3.4071,54.285714285714285
37,55.0351,3.5367999999999995,58.57142857142858
38,63.1832,2.5386000000000024,61.42857142857143
39,54.572599999999994,4.898200000000003,51.42857142857142
40,57.5009,5.169099999999986,60.0
41,48.0624,2.7404999999999973,55.714285714285715
42,51.08479999999997,4.1813999999999965,48.57142857142857
43,97.27809999999997,3.56219999999999,68.57142857142857
44,79.09750000000003,3.5410999999999717,60.0
45,60.92009999999999,3.4466999999999928,55.714285714285715
46,56.14089999999999,4.450799999999987,54.285714285714285
47,73.99289999999996,1.8278999999999996,62.857142857142854
48,58.206999999999994,3.775599999999997,60.0
49,68.35140000000001,5.54340000000002,55.714285714285715
50,47.92500000000001,4.65179999999998,47.14285714285714
51,79.42160000000001,4.484399999999994,67.14285714285714
52,58.74949999999998,4.144400000000019,60.0
53,41.892799999999994,7.687200000000004,51.42857142857142
54,35.10149999999999,5.9343000000000075,44.285714285714285
55,73.6404,3.915299999999988,60.0
56,30.387400000000014,4.224999999999994,45.714285714285715
57,37.08949999999999,4.582799999999992,45.714285714285715
58,60.31030000000001,4.5120000000000005,55.714285714285715
59,70.7414,3.2190999999999974,61.42857142857143
60,52.643,5.465999999999994,52.85714285714286
61,26.698800000000006,6.234000000000009,42.857142857142854
62,88.78140000000002,5.90679999999999,62.857142857142854
63,57.40960000000001,2.630599999999987,55.714285714285715
64,63.75749999999999,6.4313999999999965,61.42857142857143
65,53.45010000000002,2.6470000000000056,52.85714285714286
66,79.54209999999998,3.7117000000000075,60.0
67,79.9801,2.740000000000009,62.857142857142854
68,45.906800000000004,4.536599999999993,55.714285714285715
69,53.316100000000006,7.388599999999997,52.85714285714286
70,73.6354,3.209699999999998,55.714285714285715
71,40.9674,6.0064000000000135,54.285714285714285
72,57.77499999999998,4.204599999999999,58.57142857142858
73,51.03850000000003,6.015600000000006,42.857142857142854
74,64.04719999999998,2.5833999999999975,62.857142857142854
75,66.77010000000001,2.5834000000000117,64.28571428571429
76,66.46280000000002,3.146899999999988,58.57142857142858
77,85.0967,2.242199999999997,64.28571428571429
78,69.3947,2.532999999999987,60.0
79,15.731099999999998,10.731500000000011,45.714285714285715
80,65.34270000000001,8.815600000000003,58.57142857142858
81,54.56649999999996,4.678799999999995,57.14285714285714
82,69.02709999999999,3.405699999999996,58.57142857142858
83,60.948999999999984,3.315899999999999,60.0
84,71.52310000000003,2.8419999999999845,64.28571428571429
85,46.47579999999999,5.763300000000015,52.85714285714286
86,47.809799999999996,3.328800000000001,52.85714285714286
87,55.545199999999994,4.313499999999991,55.714285714285715
88,59.18639999999999,5.827200000000005,54.285714285714285
