symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type
BTCUSDT,2026-03-16T17:05:00+00:00,bullish,73732.03,73746.776406,72866.4251,75030.43735000001,0.0017328922236923452,1.2062,"['be_50%@4550', {'type': 'tp1', 'contracts': np.float64(0.001039735334215407), 'price': np.float64(75030.43735000001), 'pnl': np.float64(1.3346676406291231), 'comm': np.float64(0.039005898427215205)}, {'type': 'sl_rem', 'contracts': np.float64(0.0006931568894769382), 'price': np.float64(73746.77640599999), 'pnl': np.float64(0.0), 'comm': np.float64(0.025559043071267107)}]",tp1_partial_then_sl
BTCUSDT,2026-03-16T17:10:00+00:00,bullish,73835.65,73850.41713,72866.4251,75289.48735,0.0015662959921601122,1.2361,"['be_50%@4579', {'type': 'tp1', 'contracts': np.float64(0.0009397775952960673), 'price': np.float64(75289.48735), 'pnl': np.float64(1.3524059508137907), 'comm': np.float64(0.035377686686428336)}, {'type': 'sl_rem', 'contracts': np.float64(0.0006265183968640449), 'price': np.float64(73850.41712999999), 'pnl': np.float64(0.0), 'comm': np.float64(0.0231343224740143)}]",tp1_partial_then_sl
BTCUSDT,2026-03-16T17:45:00+00:00,bullish,73947.5,73962.2895,73014.33868,75347.24197999999,0.0016466970024044858,1.2459,"['be_50%@4579', {'type': 'tp1', 'contracts': np.float64(0.0009880182014426915), 'price': np.float64(75347.24197999999), 'pnl': np.float64(1.368358258373188), 'comm': np.float64(0.037222223252373426)}, {'type': 'sl_rem', 'contracts': np.float64(0.0006586788009617944), 'price': np.float64(73962.2895), 'pnl': np.float64(0.0), 'comm': np.float64(0.024358696082124556)}]",tp1_partial_then_sl
BTCUSDT,2026-03-16T17:55:00+00:00,bullish,73943.18,73957.968636,73014.33868,75336.44197999997,0.0016744756331321753,1.2604,"['be_50%@4579', {'type': 'tp1', 'contracts': np.float64(0.001004685379879305), 'price': np.float64(75336.44197999997), 'pnl': np.float64(1.3849320152701194), 'comm': np.float64(0.03784471091471575)}, {'type': 'sl_rem', 'contracts': np.float64(0.0006697902532528701), 'price': np.float64(73957.96863599999), 'pnl': np.float64(0.0), 'comm': np.float64(0.02476816327138713)}]",tp1_partial_then_sl
BTCUSDT,2026-03-22T16:15:00+00:00,bearish,68773.89,68760.135222,69143.72142,68219.14287,0.004256610047842571,2.9328,"['be_50%@6271', {'type': 'tp1', 'contracts': np.float64(0.0025539660287055427), 'price': np.float64(68219.14287), 'pnl': np.float64(1.381676088797514), 'comm': np.float64(0.08711468669869497)}, {'type': 'tp2', 'contracts': np.float64(0.0017026440191370285), 'price': np.float64(67678.150518), 'pnl': np.float64(1.8422347850633518), 'comm': np.float64(0.05761589910286414)}]",tp2_reached
BTCUSDT,2026-03-22T16:20:00+00:00,bearish,68739.8,68726.05204,69143.72142,68133.91787,0.004006276034041999,3.0475,"['be_50%@6271', {'type': 'tp1', 'contracts': np.float64(0.002403765620425199), 'price': np.float64(68133.91787), 'pnl': np.float64(1.4233517605250219), 'comm': np.float64(0.08188898468039005)}, {'type': 'tp2', 'contracts': np.float64(0.0016025104136167996), 'price': np.float64(67541.7837), 'pnl': np.float64(1.897802347366696), 'comm': np.float64(0.05411820586675171)}]",tp2_reached
BTCUSDT,2026-03-22T16:25:00+00:00,bearish,68715.09,68701.346982,69143.72142,68072.14286999998,0.0038819666832364745,3.1546,"['be_50%@6271', {'type': 'tp1', 'contracts': np.float64(0.0023291800099418847), 'price': np.float64(68072.14286999998), 'pnl': np.float64(1.4655296398436843), 'comm': np.float64(0.07927613720335597)}, {'type': 'tp2', 'contracts': np.float64(0.0015527866732945898), 'price': np.float64(67442.93875799996), 'pnl': np.float64(1.954039519791579), 'comm': np.float64(0.05236224825562275)}]",tp2_reached
BTCUSDT,2026-03-22T17:30:00+00:00,bearish,68799.78,68786.020044,69143.72142,68283.86786999999,0.0049754159615041675,3.1573,"['be_50%@6270', {'type': 'tp1', 'contracts': np.float64(0.0029852495769025003), 'price': np.float64(68283.86786999999), 'pnl': np.float64(1.4990495649742217), 'comm': np.float64(0.10192219383409185)}, {'type': 'tp2', 'contracts': np.float64(0.001990166384601667), 'price': np.float64(67781.71569599997), 'pnl': np.float64(1.9987327532989627), 'comm': np.float64(0.06744844603440317)}]",tp2_reached
BTCUSDT,2026-03-22T17:35:00+00:00,bearish,68697.33,68683.590534,69143.72142,68027.74287,0.003939616521081608,3.3485,"['be_50%@6271', {'type': 'tp1', 'contracts': np.float64(0.002363769912648965), 'price': np.float64(68027.74287), 'pnl': np.float64(1.5502729754443096), 'comm': np.float64(0.08040096591076308)}, {'type': 'tp2', 'contracts': np.float64(0.0015758466084326433), 'price': np.float64(67371.895206), 'pnl': np.float64(2.067030633925746), 'comm': np.float64(0.05308388628202728)}]",tp2_reached
BTCUSDT,2026-03-22T17:40:00+00:00,bearish,68671.02,68657.285796,69143.72142,67961.96787000001,0.003826599234457101,1.3345,"['be_50%@6278', {'type': 'tp1', 'contracts': np.float64(0.0022959595406742603), 'price': np.float64(67961.96787000001), 'pnl': np.float64(1.596421826001547), 'comm': np.float64(0.07801896426706204)}, {'type': 'sl_rem', 'contracts': np.float64(0.0015306396937828405), 'price': np.float64(68657.28579600001), 'pnl': np.float64(0.0), 'comm': np.float64(0.05254478345337521)}]",tp1_partial_then_sl
