symbol,entry_time,direction,entry,sl_original,tp1,tp2,exit_price,pnl,contracts,close_type,tp1_hit,tp2_hit,half_tp1_hit
BTCUSDT,2026-05-16T20:30:00+00:00,bearish,78240.01,78484.4055,77873.41675,77506.8235,78240.01,1.3499999999999732,0.006137592549781023,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-16T20:35:00+00:00,bearish,78234.85,78484.4055,77860.51675000002,77486.18350000004,78234.85,1.3682249999999994,0.006091831276009043,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-16T20:40:00+00:00,bearish,78223.41,78484.4055,77831.91675000002,77440.42350000003,78223.41,1.3866960374999997,0.005903448047955075,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-16T22:00:00+00:00,bearish,78207.11,78475.57788,77804.40818,77401.70636000001,78207.11,1.4054164340062751,0.005816613203644771,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-16T22:05:00+00:00,bearish,78178.01,78475.57788,77731.65818,77285.30635999999,78178.01,1.4243895558653112,0.0053186354053824,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-16T22:45:00+00:00,bearish,78220.42,78464.94666,77853.63001,77486.84001999999,78220.42,1.443618814869516,0.006559697439169015,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-16T22:50:00+00:00,bearish,78213.27,78464.94666,77835.75501000001,77458.24002000001,78213.27,1.4631076688702545,0.006459380014156391,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-16T22:55:00+00:00,bearish,78186.25,78464.94666,77768.20501,77350.16002,78186.25,1.4828596223999768,0.005911882125414281,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-16T23:00:00+00:00,bearish,78156.68,78464.94666,77694.28000999999,77231.88001999997,78156.68,0.0,0.005416948744968475,BE_after_50%,False,False,True
BTCUSDT,2026-05-16T23:10:00+00:00,bearish,78184.0,78464.94666,77762.58001,77341.16002,78184.0,1.5028782273023764,0.005943707239668416,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-16T23:45:00+00:00,bearish,78194.0,78456.6,77800.09999999999,77406.19999999998,78194.0,1.5231670833709845,0.006444812910937424,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-16T23:50:00+00:00,bearish,78153.7,78456.6,77699.34999999998,77244.99999999997,78153.7,0.0,0.005662777737414065,BE_after_50%,False,False,True
BTCUSDT,2026-05-16T23:55:00+00:00,bearish,78148.05,78456.6,77685.225,77222.4,78148.05,0.0,0.005559084027427495,BE_after_50%,False,False,True
BTCUSDT,2026-05-19T00:45:00+00:00,bearish,77229.25,77569.44924,76718.95113999999,76208.65228,77229.25,1.5437298389965146,0.005041914193173274,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-19T00:50:00+00:00,bearish,77195.02,77569.44924,76633.37614000001,76071.73228000001,77195.02,1.5645701918229453,0.004642830042460701,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-19T00:55:00+00:00,bearish,77140.87,77569.44924,76498.00113999998,75855.13227999998,77140.87,1.5856918894125733,0.004110978117197266,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-19T02:45:00+00:00,bearish,76763.33,77466.8745,75708.01324999999,74652.69649999999,76763.33,0.0,0.002538098521793918,BE_after_50%,False,False,True
BTCUSDT,2026-05-19T02:50:00+00:00,bearish,76629.52,77466.8745,75373.48825,74117.4565,77466.8745,-1.7856652554662502,0.0021325081019642786,SL,False,False,False
BTCUSDT,2026-05-19T02:55:00+00:00,bearish,76617.47,77466.8745,75343.36325,74069.25649999999,77466.8745,-1.7588802766342562,0.0020707216369047344,SL,False,False,False
BTCUSDT,2026-05-19T07:30:00+00:00,bullish,77169.0,76491.69004,78184.96494,79200.92988,76491.69004,-0.8662485362423713,0.001278954374511742,SL,False,False,False
BTCUSDT,2026-05-19T07:35:00+00:00,bullish,77198.43,76491.69004,78258.53993999999,79318.64987999997,76491.69004,-0.8597516722205535,0.001216503552764391,SL,False,False,False
BTCUSDT,2026-05-19T07:40:00+00:00,bullish,77260.49,76491.69004,78413.68994000001,79566.88988000002,76491.69004,-0.8533035346788994,0.0011099162058734954,SL,False,False,False
BTCUSDT,2026-05-29T01:30:00+00:00,bearish,73583.14,74016.06666,72933.75001,72284.36002000001,73583.14,0.0,0.003912458328017095,BE_after_50%,False,False,True
BTCUSDT,2026-05-29T01:35:00+00:00,bearish,73500.0,74016.06666,72725.90001000001,71951.80002000001,73500.0,1.5244267647038392,0.0032821486982662776,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-29T01:40:00+00:00,bearish,73526.01,74016.06666,72790.92500999999,72055.84001999999,73526.01,1.5450065260273553,0.0035030110963254037,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-29T03:30:00+00:00,bearish,73427.75,73947.6,72647.97499999999,71868.19999999998,73427.75,1.5658641141287246,0.0033468289231481456,TP1_partial_then_BE,True,False,True
BTCUSDT,2026-05-29T03:35:00+00:00,bearish,73321.06,73947.6,72381.24999999999,71441.43999999997,73321.06,0.0,0.002814404471239651,BE_after_50%,False,False,True
BTCUSDT,2026-05-29T03:40:00+00:00,bearish,73365.51,73947.6,72492.37499999997,71619.23999999996,73365.51,0.0,0.003029320169407618,BE_after_50%,False,False,True
BTCUSDT,2026-05-29T03:45:00+00:00,bearish,73346.84,73793.97335999999,72676.13996,72005.43992000002,73793.97335999999,-1.7633369774105137,0.003943648886789711,SL,False,False,False
BTCUSDT,2026-05-29T03:50:00+00:00,bearish,73315.42,73793.97335999999,72597.58996000001,71879.75992000003,73793.97335999999,-1.7368869227493562,0.003629452988793955,SL,False,False,False
